Name,City,State,Rank,Category
Devi Ahilya Vishwavidyalaya,Indore,Madhya Pradesh,101-150,University
Dibrugarh University,Dibrugarh,Assam,101-150,University
Dr. Babasaheb Ambedkar Marathwada University,Aurangabad,Maharashtra,101-150,University
Dr. M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,101-150,University
G. L. A. University,Mathura,Uttar Pradesh,101-150,University
Galgotias University,Gautam Budh Nagar,Uttar Pradesh,101-150,University
Gandhi Institute of Technology and Management,Visakhapatnam,Andhra Pradesh,101-150,University
Guru Jambheshwar University of Science and Technology,Hisar,Haryana,101-150,University
Hindustan Institute of Technology and Science (HITS),Chennai,Tamil Nadu,101-150,University
Indian Institute of Space Science and Technology,Thiruvananthapuram,Kerala,101-150,University
Integral University,Lucknow,Uttar Pradesh,101-150,University
"Kalinga University, Raipur",Raipur,Chhattisgarh,101-150,University
Karunya Institute of Technology and Sciences,Coimbatore,Tamil Nadu,101-150,University
KLE Academy of Higher Education and Research,Belagavi,Karnataka,101-150,University
Krishna Vishwa Vidyapeeth,Karad,Maharashtra,101-150,University
Kurukshetra University,Kurukshetra,Haryana,101-150,University
Kuvempu University,Shivamogga,Karnataka,101-150,University
Maharshi Dayanand University,Rohtak,Haryana,101-150,University
Mangalore University,Mangalore,Karnataka,101-150,University
Manipur University,Imphal,Manipur,101-150,University
Meenakshi Academy of Higher Education and Research,Chennai,Tamil Nadu,101-150,University
"NIMS University, Jaipur",Jaipur,Rajasthan,101-150,University
Nirma University,Ahmedabad,Gujarat,101-150,University
North Eastern Hill University,Shillong,Meghalaya,101-150,University
Odisha University of Agriculture and Technology,Khordha,Odisha,101-150,University
"Padmashree Dr. D. Y. Patil Vidyapeeth, Mumbai",Mumbai,Maharashtra,101-150,University
Pandit Deendayal Energy University,Gandhinagar,Gujarat,101-150,University
Parul University,Vadodara,Gujarat,101-150,University
Pondicherry University,Puducherry,Pondicherry,101-150,University
Presidency University,Kolkata,West Bengal,101-150,University
"Sambalpur University, Sambalpur",Sambalpur,Odisha,101-150,University
SR University,Warangal,Telangana,101-150,University
Sri Padmavathi Mahila Visvavidyalayam,Tirupati,Andhra Pradesh,101-150,University
Suresh Gyan Vihar University,Jaipur,Rajasthan,101-150,University
University of Burdwan,Bardhaman,West Bengal,101-150,University
Utkal University,Bhubaneswar,Odisha,101-150,University
Vels Institute of Science Technology and Advanced Studies (VISTAS),Chennai,Tamil Nadu,101-150,University
Visva Bharati,Santiniketan,West Bengal,101-150,University
Amity University,North Twenty Four Parganas,West Bengal,151-200,University
"Amity University Rajasthan,Jaipur",Jaipur,Rajasthan,151-200,University
Anurag University,Hyderabad,Telangana,151-200,University
Central Agricultural University,Imphal West,Manipur,151-200,University
Central Sanskrit University,Delhi,Delhi,151-200,University
Central University of Rajasthan,Kishangarh,Rajasthan,151-200,University
Centurion University of Technology and Management,Paralakhemundi,Odisha,151-200,University
Charotar University of Science & Technology,Changa,Gujarat,151-200,University
Chaudhary Charan Singh University Meerut,MEERUT,Uttar Pradesh,151-200,University
Chaudhary Sarwan Kumar Himachal Pardesh Krishi Vishvavidyalaya,Kangra,Himachal Pradesh,151-200,University
Dharmsinh Desai University,Nadiad,Gujarat,151-200,University
Dr Rajendra Prasad Central Agricultural University,Samastipur,Bihar,151-200,University
Dr. Y.S. Parmar University of Horticulture and Forestry,Solan,Himachal Pradesh,151-200,University
Fakir Mohan University,Balasore,Odisha,151-200,University
Glocal University,Saharanpur,Uttar Pradesh,151-200,University
Goa University,Goa,Goa,151-200,University
Guru Angad Dev Veterinary and Animal Sciences University,Ludhiana,Punjab,151-200,University
Indraprastha Institute of Information Technology,New Delhi,Delhi,151-200,University
Jawaharlal Nehru Technological University,Ananthapuramu,Andhra Pradesh,151-200,University
Kalyani University,Kalyani,West Bengal,151-200,University
Kannur University,Kannur,Kerala,151-200,University
Karpagam Academy of Higher Education,Coimbatore,Tamil Nadu,151-200,University
Kerala Agricultural University,Thrissur,Kerala,151-200,University
KLE Technological University,Dharwad,Karnataka,151-200,University
LNCT University,Bhopal,Madhya Pradesh,151-200,University
M.S. Ramaiah University of Applied Sciences,Bengaluru,Karnataka,151-200,University
Maharaja Sayajirao University of Baroda,Vadodara,Gujarat,151-200,University
"Mahatma Gandhi University of Medical Sciences & Technology, Jaipur",Jaipur,Rajasthan,151-200,University
Maulana Azad National Urdu University,Hyderabad,Telangana,151-200,University
"MGM Institute of Health Sciences, Navi  Mumbai",Navi Mumbai,Maharashtra,151-200,University
Mohan Lal Sukhadia University,Udaipur,Rajasthan,151-200,University
PES University,Bengaluru,Karnataka,151-200,University
"Pravara Institute of Medical Sciences, Ahmednagar",Ahmednagar,Maharashtra,151-200,University
Rabindranath Tagore University,Raisen,Madhya Pradesh,151-200,University
Rashtrasant Tukadoji Maharaj Nagpur University,Nagpur,Maharashtra,151-200,University
Ravenshaw University,Cuttack,Odisha,151-200,University
Santosh University,Ghaziabad,Uttar Pradesh,151-200,University
Sher-e-Kashmir University of Agricultural Science and Technology of Jammu,Jammu,Jammu and Kashmir,151-200,University
Shivaji University,Kolhapur,Maharashtra,151-200,University
Sikkim Manipal University,Gangtok,Sikkim,151-200,University
Sikkim University,Gangtok,Sikkim,151-200,University
Sri Devraj Urs Academy of Higher Education and Research,Kolar,Karnataka,151-200,University
Sri Sathya Sai Institute of Higher Learning,Prasanthi Nilayam,Andhra Pradesh,151-200,University
"Sumandeep Vidyapeeth, Vadodara",Vadodara,Gujarat,151-200,University
Tamil Nadu Veterinary and Animal Sciences University,Chennai,Tamil Nadu,151-200,University
University of Agricultural Sciences,Dharwad,Karnataka,151-200,University
University of Science and Technology,Ribhoi,Meghalaya,151-200,University
Veer Surendra Sai University of Technology,Burla,Odisha,151-200,University
Vidyasagar University,Midnapore,West Bengal,151-200,University
Vinayaka Mission's Research Foundation,Salem,Tamil Nadu,151-200,University
Hindu College,Delhi,Delhi,1,College
Miranda House,Delhi,Delhi,2,College
St. Stephens's College,Delhi,Delhi,3,College
Rama Krishna Mission Vivekananda Centenary College,Kolkata,West Bengal,3,College
Atma Ram Sanatan Dharm College,New Delhi,Delhi,5,College
St. Xavier`s College,Kolkata,West Bengal,6,College
PSGR Krishnammal College for Women,Coimbatore,Tamil Nadu,7,College
Loyola College,Chennai,Tamil Nadu,8,College
Kirori Mal College,Delhi,Delhi,9,College
Lady Shri Ram College for Women,New Delhi,Delhi,10,College
PSG College of Arts and Science,Coimbatore,Tamil Nadu,11,College
Hans Raj College,Delhi,Delhi,12,College
Presidency College,Chennai,Tamil Nadu,13,College
Madras Christian College,Chennai,Tamil Nadu,14,College
Thiagarajar College,Madurai,Tamil Nadu,15,College
Deshbandhu College,New Delhi,Delhi,16,College
Ramakrishna Mission Vidyamandira,Howrah,West Bengal,17,College
Acharya Narendra Dev College,New Delhi,Delhi,18,College
Shri Ram College of Commerce,Delhi,Delhi,19,College
Rajagiri College of Social Sciences,Ernakulam,Kerala,20,College
Sri Venkateswara College,Delhi,Delhi,21,College
