Name,City,State,Rank,Category
Vellore Institute of Technology,Vellore,Tamil Nadu,3,University
Aligarh Muslim University,Aligarh,Uttar Pradesh,17,University
University of Hyderabad,Hyderabad,Telangana,20,University
University of Delhi,Delhi,Delhi,5,University
Calcutta University,Kolkata,West Bengal,23,University
Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,8,University
Anna University,Chennai,Tamil Nadu,2,University
Siksha `O` Anusandhan,Bhubaneswar,Odisha,26,University
Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,29,University
Homi Bhabha National Institute,Mumbai,Maharashtra,13,University
S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,16,University
Savitribai Phule Pune University,Pune,Maharashtra,27,University
Birla Institute of Technology  & Science -Pilani,Pilani,Rajasthan,4,University
Bharathiar University,Coimbatore,Tamil Nadu,22,University
Thapar Institute of Engineering and Technology (Deemed-to-be-university),Patiala,Punjab,11,University
Institute of Chemical Technology,Mumbai,Maharashtra,12,University
Kerala University,Thiruvananthapuram,Kerala,79,University
Panjab University,Chandigarh,Chandigarh,18,University
Shanmugha Arts Science Technology & Research Academy,Thanjavur,Tamil Nadu,24,University
Chandigarh University,Mohali,Punjab,62,University
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,25,University
Kalasalingam Academy of Research and Education,Srivilliputtur,Tamil Nadu,43,University
Alagappa University,Karaikudi,Tamil Nadu,30,University
"Mahatma Gandhi University, Kottayam",Kottayam,Kerala,28,University
Symbiosis International,Pune,Maharashtra,77,University
University of Kashmir,Srinagar,Jammu and Kashmir,54,University
JSS Academy of Higher Education and Research,Mysuru,Karnataka,73,University
Amity University,Gautam Budh Nagar,Uttar Pradesh,15,University
Osmania University,Hyderabad,Telangana,41,University
Cochin University of Science and Technology,Cochin,Kerala,35,University
Lovely Professional University,Phagwara,Punjab,21,University
Datta Meghe Institute of Higher Education and Research,Wardha,Maharashtra,38,University
Delhi Technological University,New Delhi,Delhi,32,University
Bharathidasan University,Tiruchirappalli,Tamil Nadu,31,University
Babasheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,67,University
"Andhra University, Visakhapatnam",Visakhapatnam,Andhra Pradesh,60,University
Mysore University,Mysuru,Karnataka,107,University
King George`s Medical University,Lucknow,Uttar Pradesh,55,University
Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,92,University
SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,88,University
Guru Nanak Dev University,Amritsar,Punjab,52,University
Jamia Hamdard,New Delhi,Delhi,39,University
University of Madras,Chennai,Tamil Nadu,37,University
Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,33,University
UPES,Dehradun,Uttarakhand,47,University
Madurai Kamaraj University,Madurai,Tamil Nadu,65,University
"Punjab Agricultural University, Ludhiana",Ludhiana,Punjab,50,University
Graphic Era University,Dehradun,Uttarakhand,76,University
Mumbai University,Mumbai,Maharashtra,112,University
Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,109,University
Banasthali Vidyapith,Banasthali,Rajasthan,113,University
Periyar University,Salem,Tamil Nadu,48,University
Sri Venkateswara University,Tirupati,Andhra Pradesh,114,University
Gujarat University,Ahmedabad,Gujarat,106,University
Shiv Nadar University,Gautam Buddha Nagar,Uttar Pradesh,68,University
University of Jammu,Jammu,Jammu and Kashmir,86,University
Visvesvaraya Technological University,Belgaum,Karnataka,34,University
NITTE,Mangaluru,Karnataka,105,University
Bharath Institute of Higher Education & Research,Chennai,Tamil Nadu,57,University
Christ University,Bengaluru,Karnataka,103,University
"Jain university,Bangalore",Bengaluru,Karnataka,98,University
Tezpur University,Tezpur,Assam,46,University
"Calicut University, Thenhipalem, Malapuram",Malappuram,Kerala,127,University
Birla Institute of Technology,Ranchi,Jharkhand,42,University
Tamil Nadu Agricultural University,Coimbatore,Tamil Nadu,133,University
Shoolini University of Biotechnology and Management Sciences,Solan,Himachal Pradesh,36,University
Guru Gobind Singh Indraprastha University,New Delhi,Delhi,56,University
"Vignan's Foundation for Science, Technology and Research",Guntur,Andhra Pradesh,61,University
Mizoram University,Aizawl,Mizoram,108,University
